Previous_Crop,Soil_Type,State,Recommended_Crop,Alternative_Crop,Reason
Mustard,Clayey,Odisha,Green Gram,Potato,Legume-based nutrient restoration and pest cycle break
Cotton,Sandy,Tamil Nadu,Chickpea,Cowpea,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,West Bengal,Cotton,Maize,Legume-based nutrient restoration and pest cycle break
Cowpea,Laterite,Maharashtra,Cotton,Sugarcane,Legume-based nutrient restoration and pest cycle break
Sugarcane,Red,Odisha,Groundnut,Pigeon Pea,Legume-based nutrient restoration and pest cycle break
Soybean,Clayey,West Bengal,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Cowpea,Alluvial,Maharashtra,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Black Gram,Laterite,Tamil Nadu,Rice,Sugarcane,Legume-based nutrient restoration and pest cycle break
Black Gram,Red,Uttar Pradesh,Sugarcane,Rice,Legume-based nutrient restoration and pest cycle break
Mustard,Clayey,Odisha,Lentil,Black Gram,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,Maharashtra,Chickpea,Lentil,Legume-based nutrient restoration and pest cycle break
Wheat,Red,West Bengal,Pigeon Pea,Green Gram,Legume-based nutrient restoration and pest cycle break
Cotton,Black,Tamil Nadu,Black Gram,Soybean,Legume-based nutrient restoration and pest cycle break
Sugarcane,Red,Punjab,Groundnut,Cowpea,Legume-based nutrient restoration and pest cycle break
Rice,Clayey,Odisha,Chickpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Groundnut,Laterite,Tamil Nadu,Rice,Maize,Legume-based nutrient restoration and pest cycle break
Black Gram,Red,Tamil Nadu,Sugarcane,Cotton,Legume-based nutrient restoration and pest cycle break
Wheat,Red,Uttar Pradesh,Groundnut,Cowpea,Legume-based nutrient restoration and pest cycle break
Groundnut,Laterite,Maharashtra,Maize,Cotton,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,Uttar Pradesh,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Mustard,Clayey,Maharashtra,Black Gram,Potato,Legume-based nutrient restoration and pest cycle break
Maize,Red,Tamil Nadu,Black Gram,Cowpea,Legume-based nutrient restoration and pest cycle break
Groundnut,Black,Maharashtra,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Potato,Clayey,Punjab,Lentil,Soybean,Legume-based nutrient restoration and pest cycle break
Lentil,Sandy,Punjab,Mustard,Maize,Legume-based nutrient restoration and pest cycle break
Maize,Laterite,Odisha,Green Gram,Groundnut,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,Tamil Nadu,Wheat,Cotton,Legume-based nutrient restoration and pest cycle break
Sugarcane,Alluvial,Tamil Nadu,Soybean,Green Gram,Legume-based nutrient restoration and pest cycle break
Chickpea,Sandy,Tamil Nadu,Rice,Wheat,Legume-based nutrient restoration and pest cycle break
Rice,Clayey,Maharashtra,Lentil,Chickpea,Legume-based nutrient restoration and pest cycle break
Soybean,Sandy,Tamil Nadu,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Cowpea,Clayey,Punjab,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Sunflower,Clayey,Punjab,Black Gram,Rice,Legume-based nutrient restoration and pest cycle break
Groundnut,Red,Odisha,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Maize,Alluvial,Odisha,Green Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Wheat,Clayey,Tamil Nadu,Black Gram,Lentil,Legume-based nutrient restoration and pest cycle break
Chickpea,Sandy,Uttar Pradesh,Rice,Cotton,Legume-based nutrient restoration and pest cycle break
Rice,Laterite,Maharashtra,Chickpea,Black Gram,Legume-based nutrient restoration and pest cycle break
Groundnut,Alluvial,Maharashtra,Wheat,Maize,Legume-based nutrient restoration and pest cycle break
Green Gram,Alluvial,Tamil Nadu,Cotton,Rice,Legume-based nutrient restoration and pest cycle break
Cowpea,Red,Punjab,Maize,Rice,Legume-based nutrient restoration and pest cycle break
Sunflower,Alluvial,Odisha,Rice,Chickpea,Legume-based nutrient restoration and pest cycle break
Chickpea,Black,Odisha,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
Black Gram,Sandy,Uttar Pradesh,Cotton,Wheat,Legume-based nutrient restoration and pest cycle break
